Study,Study_Type,Predictor,Outcome,Feedback_Type,Attribution_Type,Setting,Condition,Design,Score_type,Point_Transformation,N,Cohens_d,Hedges_g,r_effect,Fisher_z,SE_z,VI_z,CI_lower_z,CI_upper_z,CI_lower_r,CI_upper_r,Control_Setting
Schunk (1984b),Experimental,Feedback_Attributional,Attributions_Success_Luck,Attributional,Maladaptive,Individual,Effort_Ability,within_groups,change_scores,cohen_d_to_fisher_z,10,-1.2672667489147957,-1.158643884722099,-0.8005353941265498,-1.1001012672084103,0.3779644730092272,0.14285714285714285,-1.8408980217421569,-0.3593045126746637,-0.9508812694796751,-0.34460128291512254,
Schunk (1984b),Experimental,Feedback_Attributional,Attributions_Success_Luck,Attributional,Maladaptive,Individual,Effort_Effort,within_groups,change_scores,cohen_d_to_fisher_z,10,-1.8082373264747833,-1.6532455556340875,-0.885527122265912,-1.4008123909996892,0.3779644730092272,0.14285714285714285,-2.141609145533436,-0.6600156364659426,-0.9727792292412711,-0.578373818952223,
Schunk (1984b),Experimental,Feedback_Attributional,Attributions_Success_Task_Ease,Attributional,Maladaptive,Individual,Ability_Ability,within_groups,change_scores,cohen_d_to_fisher_z,10,1.3589066709467865,1.2424289562942048,0.8199545142849451,1.1566786351115441,0.3779644730092272,0.14285714285714285,0.4158818805777975,1.8974753896452907,0.3934554772730401,0.9560208038573392,
Schunk (1984b),Experimental,Feedback_Attributional,Attributions_Success_Task_Ease,Attributional,Maladaptive,Individual,Ability_Effort,within_groups,change_scores,cohen_d_to_fisher_z,10,0.5898675691152181,0.539307491762485,0.5280280749430528,0.5874069201032768,0.3779644730092272,0.14285714285714285,-0.15338983443046983,1.3282036746370234,-0.15219804167993012,0.8688096150495321,
Schunk (1984b),Experimental,Feedback_Attributional,Attributions_Success_Task_Ease,Attributional,Maladaptive,Individual,Effort_Ability,within_groups,change_scores,cohen_d_to_fisher_z,10,0.4748827960941212,0.4341785564289108,0.44762161448656007,0.4817219651947321,0.3779644730092272,0.14285714285714285,-0.2590747893390145,1.2225187197284786,-0.25342994843461125,0.840395580249405,
Schunk (1984b),Experimental,Feedback_Attributional,Attributions_Success_Task_Ease,Attributional,Maladaptive,Individual,Effort_Effort,within_groups,change_scores,cohen_d_to_fisher_z,10,0.2675265601542044,0.24459571214098688,0.2714124431583369,0.2783879575872552,0.3779644730092272,0.14285714285714285,-0.4624087969464914,1.0191847121210018,-0.43204541175819955,0.7695342561719059,
Schunk (1984b),Experimental,Feedback_Attributional,Self-Efficacy,Attributional,,Individual,Ability_Ability,within_groups,change_scores,cohen_d_to_fisher_z,10,5.289409878277457,4.836031888710818,0.9842937835502249,2.419480883533975,0.3779644730092272,0.14285714285714285,1.6786841290002283,3.1602776380677216,0.9326905839787135,0.9964085721427477,
Schunk (1984b),Experimental,Feedback_Attributional,Self-Efficacy,Attributional,,Individual,Ability_Effort,within_groups,change_scores,cohen_d_to_fisher_z,10,4.886037916499274,4.4672346665136216,0.981667286931962,2.3415033850595024,0.3779644730092272,0.14285714285714285,1.6007066305257558,3.082300139593249,0.9217748521859789,0.9958037056886527,
Schunk (1984b),Experimental,Feedback_Attributional,Self-Efficacy,Attributional,,Individual,Effort_Ability,within_groups,change_scores,cohen_d_to_fisher_z,10,2.371439389687556,2.1681731562857656,0.9284621712994972,1.6471258896615066,0.3779644730092272,0.14285714285714285,0.90632913512776,2.3879226441952532,0.7193656869221382,0.9832790644731149,
Schunk (1984b),Experimental,Feedback_Attributional,Self-Efficacy,Attributional,,Individual,Effort_Effort,within_groups,change_scores,cohen_d_to_fisher_z,10,4.093580925728303,3.742702560665877,0.9741816475071703,2.1684118298974266,0.3779644730092272,0.14285714285714285,1.42761507536368,2.9092085844311733,0.8911768141921192,0.9940730046801936,
Schunk (1984b),Experimental,Feedback_Attributional,Skill,Attributional,,Individual,Ability_Ability,within_groups,change_scores,cohen_d_to_fisher_z,10,6.834257143762644,6.248463674297274,0.990502521535268,2.6725580353071865,0.3779644730092272,0.14285714285714285,1.93176128077344,3.413354789840933,0.9588755301854669,0.9978335084823318,
Schunk (1984b),Experimental,Feedback_Attributional,Skill,Attributional,,Individual,Ability_Effort,within_groups,change_scores,cohen_d_to_fisher_z,10,7.300862528492256,6.675074311764348,0.991663061995204,2.7380146375024146,0.3779644730092272,0.14285714285714285,1.997217882968668,3.478811392036161,0.9638304931266126,0.998099097502167,
Schunk (1984b),Experimental,Feedback_Attributional,Skill,Attributional,,Individual,Effort_Ability,within_groups,change_scores,cohen_d_to_fisher_z,10,2.10839424175357,1.9276747353175498,0.9119367373384424,1.538908277909377,0.3779644730092272,0.14285714285714285,0.7981115233756304,2.2797050324431236,0.6629796833025027,0.9792804318602581,
Schunk (1984b),Experimental,Feedback_Attributional,Skill,Attributional,,Individual,Effort_Effort,within_groups,change_scores,cohen_d_to_fisher_z,10,1.8493912655443738,1.6908720142119988,0.8897632428999159,1.4207882208968727,0.3779644730092272,0.14285714285714285,0.6799914663631261,2.1615849754306193,0.591513847645478,0.973831357737737,
Schunk & Cox (1986),Experimental,Feedback_Attributional,Attributions_Success_Ability,Attributional,Adaptive,Individual,Effort_Performance,between_groups,change_scores,cohen_d_to_fisher_z,60,0.23599595006510146,0.23293106759672352,0.11718498134431636,0.11772585204877738,0.13245323570650439,0.017543859649122806,-0.14187771957176593,0.3773294236693207,-0.14093335679004954,0.3603859803135264,Individual
